route	methods	group	dynamic	max_duration_seconds	auth_signals	source
/api/additional/chat-history	GET	additional	force-dynamic		none-detected	app/api/additional/chat-history/route.ts
/api/additional/chat-history/stats	GET	additional	force-dynamic		none-detected	app/api/additional/chat-history/stats/route.ts
/api/admin/check-tables	GET	admin	force-dynamic		none-detected	app/api/admin/check-tables/route.ts
/api/admin/clear-progressions	POST	admin	force-dynamic		session	app/api/admin/clear-progressions/route.ts
/api/admin/end-test-progress	GET,POST	admin	force-dynamic		none-detected	app/api/admin/end-test-progress/route.ts
/api/admin/force-reinit	POST	admin	force-dynamic		none-detected	app/api/admin/force-reinit/route.ts
/api/admin/init-database-direct	POST	admin	force-dynamic		none-detected	app/api/admin/init-database-direct/route.ts
/api/admin/live-order-smoke	POST	admin	force-dynamic	60	admin	app/api/admin/live-order-smoke/route.ts
/api/admin/migrations/status	GET	admin	force-dynamic		none-detected	app/api/admin/migrations/status/route.ts
/api/admin/reinit-db	POST	admin	force-dynamic		none-detected	app/api/admin/reinit-db/route.ts
/api/admin/reset-and-init	POST	admin	force-dynamic		none-detected	app/api/admin/reset-and-init/route.ts
/api/admin/run-migrations	POST	admin	force-dynamic		none-detected	app/api/admin/run-migrations/route.ts
/api/alerts	DELETE,GET,POST	alerts	force-dynamic		none-detected	app/api/alerts/route.ts
/api/audit-logs	GET	audit-logs	force-dynamic		none-detected	app/api/audit-logs/route.ts
/api/auth/login	POST	auth	force-dynamic		session	app/api/auth/login/route.ts
/api/auth/logout	POST	auth	force-dynamic		session	app/api/auth/logout/route.ts
/api/auth/me	GET	auth	force-dynamic		session	app/api/auth/me/route.ts
/api/auth/register	POST	auth	force-dynamic		session	app/api/auth/register/route.ts
/api/auto-optimal/calculate	POST	auto-optimal	force-dynamic		none-detected	app/api/auto-optimal/calculate/route.ts
/api/backtest-results	GET	backtest-results	force-dynamic		none-detected	app/api/backtest-results/route.ts
/api/backtest-results/[id]	GET	backtest-results	force-dynamic		none-detected	app/api/backtest-results/[id]/route.ts
/api/backup/auto	GET,POST	backup	force-dynamic		none-detected	app/api/backup/auto/route.ts
