version	name	source
1	001-initial-schema	lib/redis-migrations.ts
2	002-connection-management	lib/redis-migrations.ts
3	003-trade-positions-schema	lib/redis-migrations.ts
4	004-preset-strategy-management	lib/redis-migrations.ts
5	005-user-authentication	lib/redis-migrations.ts
6	006-monitoring-logging	lib/redis-migrations.ts
7	007-cache-optimization	lib/redis-migrations.ts
8	008-performance-optimizations	lib/redis-migrations.ts
9	009-backup-recovery	lib/redis-migrations.ts
10	010-settings-and-metadata	lib/redis-migrations.ts
11	011-seed-predefined-connections	lib/redis-migrations.ts
12	012-finalize-dashboard-connections	lib/redis-migrations.ts
13	013-risk-management-and-engines	lib/redis-migrations.ts
14	014-update-bingx-credentials	lib/redis-migrations.ts
15	015-fix-connection-inserted-enabled-states	lib/redis-migrations.ts
16	016-active-connections-independent-state	lib/redis-migrations.ts
17	017-cleanup-base-connections-to-bybit-bingx-only	lib/redis-migrations.ts
18	018-remove-auto-assignment-from-main-connections	lib/redis-migrations.ts
19	019-tombstone-skipped-version	lib/redis-migrations.ts
20	020-phase3-database-consolidation	lib/redis-migrations.ts
21	021-restore-dashboard-enabled-for-auto-active-base-connections	lib/redis-migrations.ts
22	022-comprehensive-data-structure-consistency	lib/redis-migrations.ts
23	023-eval-knob-hash-defaults	lib/redis-migrations.ts
24	024-ddt-window-unify-and-stage-thresholds	lib/redis-migrations.ts
25	025-initialize-progression-state-hashes	lib/redis-migrations.ts
26	026-per-connection-pf-ddt-leverage-defaults	lib/redis-migrations.ts
27	027-engine-timings-defaults-in-settings-system	lib/redis-migrations.ts
28	028-pin-live-sync-interval-and-min-step	lib/redis-migrations.ts
29	029-leverage-policy-defaults-in-app-settings	lib/redis-migrations.ts
30	030-coordination-variant-axis-block-defaults	lib/redis-migrations.ts
31	031-bingx-x01-live-trade-test-defaults	lib/redis-migrations.ts
32	032-tombstone-skipped-version	lib/redis-migrations.ts
33	033-bingx-x01-force-15-symbols	lib/redis-migrations.ts
34	034-operator-spec-defaults	lib/redis-migrations.ts
35	035-bingx-x01-force-20-symbols	lib/redis-migrations.ts
36	036-bingx-x01-active-inserted	lib/redis-migrations.ts
37	037-bingx-x01-enabled-dashboard	lib/redis-migrations.ts
38	038-maticusdt-to-polusdt	lib/redis-migrations.ts
39	039-polusdt-settings-hashes	lib/redis-migrations.ts
40	040-canonical-bingx-x01-state	lib/redis-migrations.ts
41	041-fix-volume-and-prehistoric-gate	lib/redis-migrations.ts
42	042-minimal-volume-factor-defaults	lib/redis-migrations.ts
43	043-reserved-schema-continuity	lib/redis-migrations.ts
44	044-reserved-schema-continuity	lib/redis-migrations.ts
45	045-rebuild-connection-list-cache	lib/redis-migrations.ts
46	046-volume-step-ratio-defaults	lib/redis-migrations.ts
47	047-clear-stale-engine-restart-flags	lib/redis-migrations.ts
48	048-clear-stale-engine-reload-flags	lib/redis-migrations.ts
49	049-strip-template-connection-overhead	lib/redis-migrations.ts
50	050-3-symbol-mode	lib/redis-migrations.ts
51	051-bingx-x01-operational-state	lib/redis-migrations.ts
52	052-bingx-x01-enable-live-trade	lib/redis-migrations.ts
53	053-1-symbol-btcusdt-pin	lib/redis-migrations.ts
54	054-dual-connection-always-inited	lib/redis-migrations.ts
55	055-default-volume-0.1-and-6-symbols-by-volatility	lib/redis-migrations.ts
56	056-normalize-variant-toggles	lib/redis-migrations.ts
57	057-symbol-count-repin	lib/redis-migrations.ts
58	058-indication-tracking-fields	lib/redis-migrations.ts
59	059-multi-symbol-support	lib/redis-migrations.ts
60	060-purge-ghost-connection-hashes	lib/redis-migrations.ts
61	061-purge-multi-symbol-stale-state	lib/redis-migrations.ts
62	062-separate-main-assignment-from-processing	lib/redis-migrations.ts
63	063-reset-legacy-indication-snapshots	lib/redis-migrations.ts
64	064-split-raw-and-set-indication-snapshots	lib/redis-migrations.ts
65	065-dev-prod-database-health-metadata	lib/redis-migrations.ts
66	066-bingx-sdk-fast-order-default	lib/redis-migrations.ts
67	067-strategy-flow-concurrency-performance-defaults	lib/redis-migrations.ts
68	068-4-symbol-live-trade-defaults	lib/redis-migrations.ts
69	069-sync-exchange-position-cost-keys	lib/redis-migrations.ts
70	070-stable-site-instance-and-portable-minute-continuity	lib/redis-migrations.ts
71	071-unified-database-maintenance-and-secondary-indexes	lib/redis-migrations.ts
72	072-subsecond-live-coordination-profile	lib/redis-migrations.ts
73	073-balanced-multisymbol-strategy-budgets	lib/redis-migrations.ts
74	074-trend-indication-adaptive-base-ranges	lib/redis-migrations.ts
75	075-bound-high-frequency-statistics-storage	lib/redis-migrations.ts
76	076-dynamic-symbol-selection-default-one	lib/redis-migrations.ts
77	077-indexed-current-indication-snapshots	lib/redis-migrations.ts
78	078-coherent-strategy-set-snapshots	lib/redis-migrations.ts
79	079-repair-hourly-statistics-rollups	lib/redis-migrations.ts
80	080-index-exact-strategy-set-ledgers-and-minute-snapshots	lib/redis-migrations.ts
81	081-seed-independent-block-profit-factor-ratio	lib/redis-migrations.ts
