dataset,engine,dimension,name,evaluated,valid,valid_rate_percent,pf_metric,pf_value,total_pnl,mean_ddt_minutes,live_closed,live_pf,qualified_for_mainnet
production_internal,direct,indication,momentum,240128,498,0.2074,aggregate_classic_pf,0.57702906,-202870.5571,,0,,false
production_internal,direct,indication,mean_reversion,240128,0,0.0000,aggregate_classic_pf,0.50458829,-1675.7250,,0,,false
production_internal,direct,indication,breakout,240128,512,0.2132,aggregate_classic_pf,0.56036511,-154777.3499,,0,,false
production_internal,direct,indication,relative,240128,580,0.2415,aggregate_classic_pf,0.57279239,-289127.3612,,0,,false
production_internal,direct,strategy,standard,43008,47,0.1093,aggregate_classic_pf,0.54227045,-32223.6159,,0,,false
production_internal,direct,strategy,trailing_fixed,129024,105,0.0814,aggregate_classic_pf,0.53086556,-89384.0698,,0,,false
production_internal,direct,strategy,trailing_auto,129024,117,0.0907,aggregate_classic_pf,0.54956012,-87520.2040,,0,,false
production_internal,direct,strategy,combination,301056,269,0.0894,aggregate_classic_pf,0.54060844,-209127.8897,,0,,false
production_internal,direct,strategy,inverse,286720,1012,0.3530,aggregate_classic_pf,0.61925611,-170403.9041,,0,,false
production_internal,direct,strategy,high_protection,57344,28,0.0488,aggregate_classic_pf,0.57674239,-43370.6821,,0,,false
production_internal,direct,strategy,dca,14336,12,0.0837,aggregate_classic_pf,0.68039575,-16420.6276,,0,,false
paper_matrix,direct,strategy,standard,43008,732,1.7020,mean_per_config_finite_pf,0.825,-27665.507,0.166,0,,false
paper_matrix,direct,strategy,trailing_fixed,129024,2544,1.9717,mean_per_config_finite_pf,7.905,-18919.338,0.137,0,,false
paper_matrix,direct,strategy,trailing_auto,129024,2475,1.9182,mean_per_config_finite_pf,6.194,-17473.316,0.132,0,,false
paper_matrix,direct,strategy,combination,301056,5751,1.9103,mean_per_config_finite_pf,6.133,-64058.160,0.139,0,,false
paper_matrix,direct,strategy,inverse,286720,9818,3.4242,mean_per_config_finite_pf,0.846,108549.117,1.022,0,,false
paper_matrix,direct,strategy,high_protection,57344,907,1.5817,mean_per_config_finite_pf,4.590,-44231.658,0.318,0,,false
paper_matrix,direct,strategy,dca,14336,240,1.6741,mean_per_config_finite_pf,0.468,-90265.721,1.461,0,,false
one_hour_observation,direct,live,all,0,0,,settled_classic_pf,,,0,0,,false
one_hour_observation,main,live,all,0,0,,settled_classic_pf,,,0,0,,false
existing_general_exchange_history,x02,window,4h,109,1,,classic_pf,0.0000,-0.06,,,0.0000,false
existing_general_exchange_history,x02,window,12h,151,4,,classic_pf,0.0000,-0.17,,,0.0000,false
existing_general_exchange_history,x02,window,48h,406,43,,classic_pf,1.7546,4.92,,,1.7546,false
