dimension,step_or_ratio,evaluated,valid,aggregate_pf,total_internal_pnl,mean_minimum_pf,mean_realized_volume_multiplier,qualified
take_profit_position_cost_ratio,5,480256,421,0.44341744,-370433.1550,,,false
take_profit_position_cost_ratio,10,480256,1169,0.67149352,-278017.8382,,,false
stop_loss_ratio,0.25,258048,335,0.51035125,-154035.1979,,,false
stop_loss_ratio,0.50,258048,492,0.56115740,-173549.4799,,,false
stop_loss_ratio,0.75,315392,404,0.58094678,-228975.4758,,,false
stop_loss_ratio,1.00,57344,166,0.62423920,-37532.7149,,,false
stop_loss_ratio,1.25,57344,181,0.63567150,-37937.4971,,,false
stop_loss_ratio,1.30,7168,9,0.74769586,-7985.4236,,,false
stop_loss_ratio,1.50,7168,3,0.57242482,-8435.2040,,,false
block_count,1,946176,1563,0.57430726,-681992.7326,1.11306001,1.06752498,false
block_count,2,946176,769,0.57495527,-698088.4641,1.18433758,1.08257051,false
block_count,3,946176,332,0.57580687,-703812.5332,1.25788994,1.08808693,false
block_count,4,946176,211,0.57590683,-706730.5914,1.33285003,1.09032119,false
block_count,5,946176,109,0.57599193,-707885.1141,1.40879259,1.09113985,false
block_count,6,946176,63,0.57603877,-708481.5895,1.48677359,1.09157192,false
block_count,7,946176,27,0.57603901,-708848.3600,1.56513516,1.09182350,false
block_count,8,946176,0,0.57603160,-709025.2585,1.64374314,1.09194716,false
block_count,9,946176,0,0.57602188,-709117.0036,1.72250318,1.09202706,false
block_count,10,946176,0,0.57600616,-709197.6131,1.80136876,1.09205669,false
block_count,11,946176,0,0.57599265,-709249.9667,1.88027323,1.09207021,false
block_count,12,946176,0,0.57598535,-709277.8026,1.96000000,1.09207895,false
