dataset,engine,dimension,name,evaluated,valid,total,open,closed,settled,accountingPending,wins,losses,breakEven,netPnl,grossProfit,grossLoss,classicPf,pfCoordinate,positionCostCoverage,meanHoldMinutes,profitFactor,totalPnl,meanMinimumPf,meanRealizedVolumeMultiplier,qualified
historic,direct,indication,breakout,240128,375,,,,,,,,,,,,,,,,0.5782497,-155659.14849986,,,false
historic,direct,indication,mean_reversion,240128,0,,,,,,,,,,,,,,,,0.63656721,-754.8828,,,false
historic,direct,indication,momentum,240128,491,,,,,,,,,,,,,,,,0.55774678,-200039.95949989,,,false
historic,direct,indication,relative,240128,505,,,,,,,,,,,,,,,,0.55325778,-283674.00929991,,,false
historic,direct,strategy,combination,301056,131,,,,,,,,,,,,,,,,0.5117732,-216751.97799984,,,false
historic,direct,strategy,dca,14336,12,,,,,,,,,,,,,,,,0.6454817,-17376.1132,,,false
historic,direct,strategy,high_protection,57344,12,,,,,,,,,,,,,,,,0.53804088,-46498.34700001,,,false
historic,direct,strategy,inverse,286720,1085,,,,,,,,,,,,,,,,0.66082787,-142749.58389993,,,false
historic,direct,strategy,standard,43008,16,,,,,,,,,,,,,,,,0.52984555,-31845.0191,,,false
historic,direct,strategy,trailing_auto,129024,48,,,,,,,,,,,,,,,,0.51521535,-91802.71249999,,,false
historic,direct,strategy,trailing_fixed,129024,67,,,,,,,,,,,,,,,,0.50173379,-93104.24639999,,,false
exchange,signal,indication,signal,,,579,2,406,42,364,12,27,3,-2.39,3.85,6.24,0.61698718,,2,132.634,,,,,false
exchange,main,indication,move,,,192,0,176,28,148,9,17,2,-0.04,0.59,0.63,0.93650794,,0,58.523,,,,,false
exchange,main,indication,common,,,172,0,102,13,89,3,10,0,-0.08,0.97,1.05,0.92380952,,0,32.573,,,,,false
exchange,main,indication,trend,,,32,1,25,5,20,3,2,0,0.29,0.38,0.09,4.22222222,,0,303.436,,,,,false
exchange,main,indication,optimal,,,19,0,15,1,14,1,0,0,0.29,0.29,0,,,0,29.158,,,,,false
exchange,main,indication,direction,,,11,0,9,3,6,0,3,0,-0.22,0,0.22,0,,0,19.726,,,,,false
exchange,main,indication,auto,,,3,0,3,0,3,0,0,0,0,0,0,,,0,,,,,,false
exchange,mixed,set_variant,trailing,,,695,3,563,77,486,27,45,5,-0.77,6.06,6.83,0.88726208,,2,116.502,,,,,false
exchange,mixed,set_variant,block,,,313,0,173,15,158,1,14,0,-1.38,0.02,1.4,0.01428571,,0,17.84,,,,,false
exchange,signal,execution_lane,signal_trailing,,,579,2,406,42,364,12,27,3,-2.39,3.85,6.24,0.61698718,,2,132.634,,,,,false
exchange,main,execution_lane,default,,,429,1,330,50,280,16,32,2,0.24,2.23,1.99,1.12060302,,0,73.352,,,,,false
