observed_at,health_http_200,direct_api_ms,overview_api_ms,system_api_ms,ledger_api_ms,processor_healthy,heartbeat_healthy,progress_healthy,progress_age_ms,lifecycle_cycle_count,errors_last_5m,direct_open,direct_closed,direct_pnl_usdt,direct_classic_pf,app_rss_mb,heap_mb,redis_rps,redis_keys
2026-08-26T23:30:06.024Z,true,40.4,90.6,117.9,88.6,true,true,true,575,1904,0,2,5,-0.210136,0.102,854.9,365,422,135247
2026-08-26T23:30:20.864Z,true,18.9,53.3,55.2,,true,true,true,659,1946,0,2,5,-0.210136,0.102,889.8,380,3430,135244
2026-08-26T23:30:35.567Z,true,18.4,45.7,19.2,,true,true,true,211,1989,0,2,5,-0.210136,0.102,920.1,399,163,135244
2026-08-26T23:30:50.584Z,true,17.1,52.7,53.3,,true,true,true,2935,2025,0,2,5,-0.210136,0.102,883.2,378,4227,135606
2026-08-26T23:31:05.799Z,true,112.2,217.2,231.1,108.7,true,true,true,1724,2060,0,2,5,-0.210136,0.102,896.7,359,1280,135610
2026-08-26T23:31:20.748Z,true,17.8,54.8,55.2,,true,true,true,1150,2102,0,2,5,-0.210136,0.102,896.3,348,167,135614
2026-08-26T23:31:36.266Z,true,17.2,52.2,19.6,,true,true,true,1776,2146,0,2,5,-0.210136,0.102,976.9,393,1275,135612
2026-08-26T23:31:51.003Z,true,17.8,62.9,63.6,,true,true,true,1684,2189,0,2,5,-0.210136,0.102,935.6,423,285,135614
2026-08-26T23:32:06.025Z,true,30.4,103.5,104.1,101.1,true,true,true,1557,2220,0,2,5,-0.210136,0.102,964.1,413,737,135612
2026-08-26T23:32:21.036Z,true,17.3,57.1,57.3,,true,true,true,1421,2262,0,2,5,-0.210136,0.102,998.9,508,335,135615
2026-08-26T23:32:35.962Z,true,17.7,47.8,19.3,,true,true,true,1634,2303,0,2,5,-0.210136,0.102,1030.6,551,2969,135609
2026-08-26T23:32:51.051Z,true,19,52.4,52.4,,true,true,true,1343,2346,0,2,5,-0.210136,0.102,1052.7,385,1209,135613
2026-08-26T23:33:06.050Z,true,30.4,104.4,114.9,90.6,true,true,true,1534,2376,0,2,5,-0.210136,0.102,1042.6,406,406,135612
2026-08-26T23:33:20.980Z,true,16.9,52.2,56.3,,true,true,true,3275,2403,0,1,7,-0.471632,0.317,1107,460,536,135617
2026-08-26T23:33:35.970Z,true,16.7,44.9,17.3,,true,true,true,2137,2444,0,1,7,-0.471632,0.317,1047.7,485,269,135618
2026-08-26T23:33:50.975Z,true,17.8,42.6,18.4,,true,true,true,2263,2488,0,1,7,-0.471632,0.317,1048.6,487,659,135620
2026-08-26T23:34:06.055Z,true,41.9,120,122.8,117.5,true,true,true,4026,2523,0,1,7,-0.471632,0.317,1053.8,529,364,135621
2026-08-26T23:34:20.999Z,true,18.8,56.4,56.8,,true,true,true,2409,2551,0,2,7,-0.471632,0.317,1063,454,675,135623
2026-08-26T23:34:36.000Z,true,17.7,49.6,18.7,,true,true,true,2064,2592,0,2,7,-0.471632,0.317,1101.4,510,311,135621
2026-08-26T23:34:51.045Z,true,17.8,44.5,45.6,,true,true,true,1977,2634,0,2,7,-0.471632,0.317,1100.2,561,3733,135622
2026-08-26T23:35:06.129Z,true,47.9,102.5,109.5,91.5,true,true,true,1937,2676,0,2,7,-0.471632,0.317,1103.2,554,160,135622
2026-08-26T23:35:21.066Z,true,17.1,48.6,50.5,,true,true,true,2426,2698,0,2,7,-0.471632,0.317,1129.2,799,281,135624
2026-08-26T23:35:36.090Z,true,17.8,50.7,51.1,,true,true,true,2392,2739,0,2,7,-0.471632,0.317,1261.2,803,228,135635
2026-08-26T23:35:51.067Z,true,17.7,44.3,61.4,,true,true,true,1881,2772,0,2,9,-0.541761,0.288,1319,810,156,135646
