dataset,engine,dimension,name,evaluated,valid,total,open,closed,settled,accountingPending,wins,losses,breakEven,netPnl,grossProfit,grossLoss,classicPf,pfCoordinate,positionCostCoverage,meanHoldMinutes,profitFactor,totalPnl,meanMinimumPf,meanRealizedVolumeMultiplier,qualified
historic,direct,tp_position_cost_ratio,5,480256,304,,,,,,,,,,,,,,,,0.4374937,-358227.62560008,,,false
historic,direct,tp_position_cost_ratio,10,480256,1067,,,,,,,,,,,,,,,,0.65689589,-281900.37449994,,,false
historic,direct,sl_to_tp_ratio,0.25,258048,328,,,,,,,,,,,,,,,,0.51408083,-145544.95569996,,,false
historic,direct,sl_to_tp_ratio,0.5,258048,379,,,,,,,,,,,,,,,,0.54682942,-173108.94009991,,,false
historic,direct,sl_to_tp_ratio,0.75,315392,282,,,,,,,,,,,,,,,,0.55486108,-237887.14549984,,,false
historic,direct,sl_to_tp_ratio,1,57344,183,,,,,,,,,,,,,,,,0.65759755,-32297.5494,,,false
historic,direct,sl_to_tp_ratio,1.25,57344,187,,,,,,,,,,,,,,,,0.65809383,-33913.2962,,,false
historic,direct,sl_to_tp_ratio,1.3,7168,7,,,,,,,,,,,,,,,,0.73545975,-7774.2639,,,false
historic,direct,sl_to_tp_ratio,1.5,7168,5,,,,,,,,,,,,,,,,0.51074547,-9601.8493,,,false
historic,direct,block_count,1,946176,1354,,,,,,,,,,,,,,,,0.56488831,-667478.97520112,1.11381183,1.06903406,false
historic,direct,block_count,2,946176,779,,,,,,,,,,,,,,,,0.56576991,-680743.65680113,1.18487812,1.08382472,false
historic,direct,block_count,3,946176,420,,,,,,,,,,,,,,,,0.56660015,-684972.46150114,1.25829675,1.08864558,false
historic,direct,block_count,4,946176,187,,,,,,,,,,,,,,,,0.56712288,-686236.96380114,1.33318154,1.09016313,false
historic,direct,block_count,5,946176,96,,,,,,,,,,,,,,,,0.56715933,-686738.44140115,1.40907767,1.09055338,false
historic,direct,block_count,6,946176,57,,,,,,,,,,,,,,,,0.56718828,-686874.70830115,1.48698913,1.09068837,false
historic,direct,block_count,7,946176,29,,,,,,,,,,,,,,,,0.56717628,-686977.00790115,1.56528453,1.09074783,false
historic,direct,block_count,8,946176,0,,,,,,,,,,,,,,,,0.56717188,-687021.96240115,1.64384941,1.0907687,false
historic,direct,block_count,9,946176,0,,,,,,,,,,,,,,,,0.56717223,-687048.47830115,1.72258003,1.09078574,false
historic,direct,block_count,10,946176,0,,,,,,,,,,,,,,,,0.567171,-687057.34540115,1.80141729,1.09078736,false
historic,direct,block_count,11,946176,0,,,,,,,,,,,,,,,,0.56717009,-687067.99060115,1.88028295,1.09078898,false
historic,direct,block_count,12,946176,0,,,,,,,,,,,,,,,,0.56717009,-687067.99060115,1.96,1.09078898,false
exchange,mixed,block_count,unknown,,,692,3,563,77,486,27,45,5,-0.77,6.06,6.83,0.88726208,,2,116.502,,,,,false
exchange,mixed,block_count,1,,,260,0,145,15,130,1,14,0,-1.38,0.02,1.4,0.01428571,,0,17.84,,,,,false
exchange,mixed,block_count,5,,,40,0,28,0,28,0,0,0,0,0,0,,,0,,,,,,false
exchange,mixed,block_count,9,,,13,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,false
exchange,signal,block_count,none,,,3,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,false
exchange,mixed,tp_position_cost_ratio_derived,unavailable,,,997,2,727,92,635,28,59,5,-2.15,6.08,8.23,0.73876063,,2,100.416,,,,,false
exchange,signal,tp_position_cost_ratio_derived,15,,,10,1,9,0,9,0,0,0,0,0,0,,,0,,,,,,false
exchange,signal,tp_position_cost_ratio_derived,10,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,false
